product_id,competitor_price,competitor_promo
P001,384,False
P002,730,False
P003,259,False
P004,766,True
P005,147,True
P006,418,False
P007,688,False
P008,479,True
P009,289,True
P010,197,False
P011,32,False
P012,567,True
P013,378,False
P014,485,False
P015,360,False
P016,106,True
P017,114,False
P018,133,False
P019,70,True
P020,291,False
P021,295,False
P022,559,True
P023,133,True
P024,26,False
P025,182,False
P026,149,True
P027,266,False
P028,264,True
P029,576,False
P030,227,False
P031,558,True
P032,18,True
P033,241,True
P034,647,True
P035,336,False
P036,622,True
P037,227,True
P038,78,True
P039,505,False
P040,779,True
P041,810,False
P042,414,False
P043,381,False
P044,506,True
P045,62,False
P046,351,False
P047,529,False
P048,504,False
P049,164,True
P050,410,False
